Timestamp,Discord username,Seeking,Organization,Intern Type,Start date,End date,Newsletter,Status,Portal
10/5/2023 19:23:26,polar20,Internship,AWS Lambda,First-time,6/19/2023,9/8/2023,Yes,Waiting,ASP
11/13/2023 15:58:44,crimsongnome,Full time,AWS Lambda,First-time,6/12/2023,9/1/2023,No,Portal Update,ASP
10/5/2023 19:27:44,mirage450,Full time,AWS,First-time,5/15/2023,8/4/2023,Yes,Waiting,ECT
10/5/2023 19:27:53,zenL,Full time,"IDK, team was PIES",Returning,6/12/2023,9/1/2023,No,Waiting,ASP
10/5/2023 19:29:05,meghb,Full time,Amazon Fashion,First-time,5/8/2023,8/25/2023,Yes,Waiting,ASP
10/5/2023 19:29:47,你什么都没看见,Full time,WWGS,First-time,5/30/2023,8/18/2023,Yes,Waiting,ASP
10/5/2023 19:30:42,Chuks,Full time,Alexa Comms,First-time,6/12/2023,9/22/2023,No,Waiting,ASP
10/5/2023 19:30:44,sfxplayer,Full time,Amazon Health Services,Returning,5/22/2023,8/11/2023,Yes,Waiting,ASP
10/5/2023 19:32:08,,Full time,Ads,Returning,5/15/2023,8/4/2023,Yes,Waiting,ASP
10/5/2023 19:33:32,pokachu,Full time,SPS,First-time,5/8/2023,8/11/2023,Yes,Waiting,ASP
10/5/2023 19:34:12,newjeans,Internship,AWS Systems Manager,First-time,5/15/2023,8/4/2023,Yes,Waiting,ASP
10/5/2023 19:39:47,No,Internship,GTMC,First-time,5/15/2023,9/1/2023,No,Waiting,ASP
10/5/2023 19:40:28,_vokes,Internship,AWS Lambda,First-time,5/30/2023,8/18/2023,Yes,Waiting,ASP
10/5/2023 19:41:12,Deleted User,Full time,AWS S3G,First-time,5/22/2023,8/11/2023,Yes,Waiting,ASP
10/5/2023 19:45:38,lolbeans2132,Full time,Amazon Fashion,First-time,6/5/2023,8/25/2023,Yes,Waiting,ASP
10/5/2023 19:44:14,,Full time,AWS Crypto,First-time,5/22/2023,8/11/2023,No,Waiting,ASP
11/10/2023 13:04:28,WraithW0lf,Full time,AWS EC2 Core,First-time,6/12/2023,9/1/2023,Yes,Offer,ECT
10/5/2023 19:47:37,Red ツ,Full time,Devices,Returning,9/11/2024,1/1/2073,Yes,Offer,ECT
10/5/2023 19:48:54,TheDongTran,Full time,PXT,First-time,5/1/2023,8/1/2023,Yes,Waiting,ASP
10/5/2023 19:52:18,taj,Full time,Alexa - Devices ,First-time,6/5/2023,8/18/2023,Yes,Waiting,ASP
10/5/2023 19:58:40,AugustRush,Full time,AWS CWL,First-time,5/8/2023,8/25/2023,Yes,Waiting,ASP
10/5/2023 19:58:53,,Full time,AWS EC2 Edge,First-time,6/5/2023,8/25/2023,Yes,Waiting,ASP
10/5/2023 20:03:31,MSBBoy,Full time,PXT,First-time,5/8/2023,7/28/2023,Yes,Waiting,ASP
10/5/2023 20:07:11,Navel Orange,Internship,AWS Payments,First-time,5/8/2023,7/28/2023,Yes,Waiting,ASP
10/5/2023 20:17:06,Notshell,Internship,"DIA/DFA (Redshift, Quicksight, Kafka, Opensearch)",First-time,6/5/2023,8/25/2023,Yes,Waiting,ECT
10/5/2023 20:19:10,Baegll,Full time,SecInt,Returning,5/5/2023,8/11/2023,No,Offer,ASP
10/5/2023 20:21:03,bant3r,Internship,AWS Commerce Platform,First-time,6/5/2023,8/25/2023,Yes,Waiting,ASP
10/5/2023 20:25:03,AlvinChipmunkz,Full time,AWS Security,First-time,5/15/2023,8/4/2023,Yes,Waiting,ASP
10/5/2023 20:26:47,stacy,Internship,outbound,First-time,5/8/2023,7/29/2023,Yes,Waiting,ASP
10/5/2023 20:30:43,jc-hiroto,Full time,AWS Redshift,First-time,5/22/2023,8/11/2023,Yes,Waiting,ASP
10/5/2023 20:33:39,,Full time,Retail,Returning,5/8/2023,7/28/2023,Yes,Waiting,ASP
